preprocessed_shape,fused_mean,skeleton_mean_um,skeleton_std_um,skeleton_max_um,n_branches,n_junctions,n_endpoints,total_branch_length_mm,tortuosity,fractal_fd,trunk_eccentricity,angular_distribution_cv,radial_profile,radial_uniformity,estimated_radius_px,FD_percent_R1,FD_avg_area_R1,FD_number_R1,FD_density_R1,FD_percent_R2,FD_avg_area_R2,FD_number_R2,FD_density_R2,FD_percent_R3,FD_avg_area_R3,FD_number_R3,FD_density_R3,arteriolarization_segment_count,arteriolarization_total_length,arteriolarization_max_segment_length,arteriolarization_density,localized_diameter_variation,HighSkew_threshold,suggested,complexity,confidence,file
"(468, 450)",91.99764007597341,40.22936289116428,19.74560593994233,160.0,6473,2125,2212,729.9222605753689,1.149712338220604,0.0,0.03840792373519101,0.03761968848328922,"[np.float64(0.019310221558475674), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,112.59222676168923,49.68380907905768,13119.588953115024,346,37.86994337750277,49.14221780208878,13322.380200105392,422,36.88696544007956,48.694525264589146,13545.747735807445,503,35.94820028714091,635,70.30666666666667,5.04,89.6870135087631,66.25474190758608,2.759214568861604,Glomerular,79.42478357610543,0.9176991343044217,/Users/yy/Desktop/New Folder With Items/Reg-Avg-Stack_Visit1_image1.tif
"(468, 450)",84.23465337132004,39.28070869132593,17.433860873429804,160.0,6357,2140,2330,673.8558738562735,1.1408671130260144,0.0,0.02590201265875611,0.03650033478724036,"[np.float64(0.016892484805536307), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,112.11626735401913,53.15251711086294,21606.776283009567,223,24.599929399305754,52.46976358487342,20772.74487030594,287,25.25894575438486,51.891691394658956,20725.925925926014,348,25.03709198813056,731,51.22666666666667,3.3466666666666667,104.12446188908582,45.352929781970985,2.5270669770830065,Glomerular,79.70598103683253,0.9188239241473302,/Users/yy/Desktop/New Folder With Items/Reg-Avg-Stack_Visit1_image2.tif
"(468, 450)",91.52535612535613,40.38993739285448,19.504836425745232,192.2960680247461,6847,2289,2202,746.5016341613912,1.1435921169802212,0.0,0.03340709763380968,0.0471451977538538,"[np.float64(0.02147832846590691), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,111.71808554243324,47.05059500354658,10942.038946162706,388,42.999842383166516,47.104713767718124,10909.88411724615,489,43.17618158130189,46.80032817146991,10871.542899683678,597,43.04846938775509,568,55.38666666666667,3.4133333333333336,81.4843152257077,38.64804713604155,2.9225786277695525,Glomerular,79.27123361891687,0.9170849344756675,/Users/yy/Desktop/New Folder With Items/Reg-Avg-Stack_Visit1_image3.tif
"(468, 450)",90.10479582146249,47.16638126215837,24.32264413568713,203.08728282303758,6014,2299,2020,607.7847641493095,1.1290496217863766,0.0,0.054793181602132715,0.04786838990595523,"[np.float64(0.02391827847787392), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,112.59646733718691,46.11450351989431,16403.28577604846,257,28.112967212477148,46.80613321745619,17992.542878448963,298,26.014184617294674,46.72368287483517,17983.882783882837,364,25.980864886813514,428,38.94666666666667,1.84,60.44590624921538,36.112362534763896,3.3205702810437394,Glomerular,79.22439983909953,0.9168975993563981,/Users/yy/Desktop/New Folder With Items/Reg-Avg-Stack_Visit1_image4.tif
"(468, 450)",91.99764007597341,40.22936289116428,19.74560593994233,160.0,6473,2125,2212,729.9222605753689,1.149712338220604,0.0,0.03840792373519101,0.03761968848328922,"[np.float64(0.019310221558475674), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,112.59222676168923,49.68380907905768,13119.588953115024,346,37.86994337750277,49.14221780208878,13322.380200105392,422,36.88696544007956,48.694525264589146,13545.747735807445,503,35.94820028714091,635,70.30666666666667,5.04,89.6870135087631,66.25474190758608,2.759214568861604,Glomerular,79.42478357610543,0.9176991343044217,/Users/yy/Desktop/New Folder With Items/Reg-Avg-Stack_Visit2_image1.tif
"(468, 450)",84.23465337132004,39.28070869132593,17.433860873429804,160.0,6357,2140,2330,673.8558738562735,1.1408671130260144,0.0,0.02590201265875611,0.03650033478724036,"[np.float64(0.016892484805536307), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,112.11626735401913,53.15251711086294,21606.776283009567,223,24.599929399305754,52.46976358487342,20772.74487030594,287,25.25894575438486,51.891691394658956,20725.925925926014,348,25.03709198813056,731,51.22666666666667,3.3466666666666667,104.12446188908582,45.352929781970985,2.5270669770830065,Glomerular,79.70598103683253,0.9188239241473302,/Users/yy/Desktop/New Folder With Items/Reg-Avg-Stack_Visit2_image2.tif
"(468, 450)",91.52535612535613,40.38993739285448,19.504836425745232,192.2960680247461,6847,2289,2202,746.5016341613912,1.1435921169802212,0.0,0.03340709763380968,0.0471451977538538,"[np.float64(0.02147832846590691), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,111.71808554243324,47.05059500354658,10942.038946162706,388,42.999842383166516,47.104713767718124,10909.88411724615,489,43.17618158130189,46.80032817146991,10871.542899683678,597,43.04846938775509,568,55.38666666666667,3.4133333333333336,81.4843152257077,38.64804713604155,2.9225786277695525,Glomerular,79.27123361891687,0.9170849344756675,/Users/yy/Desktop/New Folder With Items/Reg-Avg-Stack_Visit2_image3.tif
"(468, 450)",90.10479582146249,47.16638126215837,24.32264413568713,203.08728282303758,6014,2299,2020,607.7847641493095,1.1290496217863766,0.0,0.054793181602132715,0.04786838990595523,"[np.float64(0.02391827847787392), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,112.59646733718691,46.11450351989431,16403.28577604846,257,28.112967212477148,46.80613321745619,17992.542878448963,298,26.014184617294674,46.72368287483517,17983.882783882837,364,25.980864886813514,428,38.94666666666667,1.84,60.44590624921538,36.112362534763896,3.3205702810437394,Glomerular,79.22439983909953,0.9168975993563981,/Users/yy/Desktop/New Folder With Items/Reg-Avg-Stack_Visit2_image4.tif
